Módulo;Manufacturer;Tipo;Fecha
MOD 01;CSR;Puesta en Servicio = Ultima RG;30/09/2017
MOD 02;CSR;Puesta en Servicio = Ultima RG;31/08/2015
MOD 03;CSR;Puesta en Servicio = Ultima RG;31/10/2015
MOD 04;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 05;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 06;CSR;Puesta en Servicio = Ultima RG;31/08/2015
MOD 07;CSR;Puesta en Servicio = Ultima RG;31/08/2015
MOD 08;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 09;CSR;Puesta en Servicio = Ultima RG;31/07/2016
MOD 10;CSR;Puesta en Servicio = Ultima RG;31/07/2016
MOD 11;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 12;CSR;Puesta en Servicio = Ultima RG;31/10/2015
MOD 13;CSR;Puesta en Servicio = Ultima RG;31/03/2016
MOD 14;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 15;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 16;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 17;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 18;CSR;Puesta en Servicio = Ultima RG;31/03/2016
MOD 19;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 20;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 21;CSR;Puesta en Servicio = Ultima RG;31/10/2016
MOD 22;CSR;Puesta en Servicio = Ultima RG;30/06/2016
MOD 23;CSR;Puesta en Servicio = Ultima RG;31/10/2015
MOD 24;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 25;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 26;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 27;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 28;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 29;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 30;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 31;CSR;Puesta en Servicio = Ultima RG;30/06/2017
MOD 32;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 33;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 34;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 35;CSR;Puesta en Servicio = Ultima RG;28/12/2019
MOD 36;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 37;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 38;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 39;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 40;CSR;Puesta en Servicio = Ultima RG;30/09/2015
MOD 41;CSR;Puesta en Servicio = Ultima RG;29/02/2016
MOD 42;CSR;Puesta en Servicio = Ultima RG;29/02/2016
MOD 43;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 44;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 45;CSR;Puesta en Servicio = Ultima RG;31/08/2017
MOD 46;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 48;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 49;CSR;Puesta en Servicio = Ultima RG;30/06/2017
MOD 50;CSR;Puesta en Servicio = Ultima RG;31/07/2017
MOD 51;CSR;Puesta en Servicio = Ultima RG;30/11/2016
MOD 52;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 53;CSR;Puesta en Servicio = Ultima RG;30/11/2016
MOD 54;CSR;Puesta en Servicio = Ultima RG;31/03/2016
MOD 55;CSR;Puesta en Servicio = Ultima RG;31/08/2017
MOD 56;CSR;Puesta en Servicio = Ultima RG;23/12/2019
MOD 57;CSR;Puesta en Servicio = Ultima RG;30/09/2017
MOD 58;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 59;CSR;Puesta en Servicio = Ultima RG;31/03/2016
MOD 60;CSR;Puesta en Servicio = Ultima RG;31/12/2016
MOD 61;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 62;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 63;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 64;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 65;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 66;CSR;Puesta en Servicio = Ultima RG;31/01/2017
MOD 68;CSR;Puesta en Servicio = Ultima RG;28/02/2017
MOD 69;CSR;Puesta en Servicio = Ultima RG;31/08/2016
MOD 70;CSR;Puesta en Servicio = Ultima RG;30/09/2017
MOD 71;CSR;Puesta en Servicio = Ultima RG;30/06/2017
MOD 72;CSR;Puesta en Servicio = Ultima RG;30/11/2016
MOD 73;CSR;Puesta en Servicio = Ultima RG;30/09/2017
MOD 74;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 75;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 76;CSR;Puesta en Servicio = Ultima RG;29/06/2018
MOD 77;CSR;Puesta en Servicio = Ultima RG;30/06/2016
MOD 78;CSR;Puesta en Servicio = Ultima RG;31/01/2017
MOD 79;CSR;Puesta en Servicio = Ultima RG;30/04/2016
MOD 80;CSR;Puesta en Servicio = Ultima RG;30/04/2016
MOD 81;CSR;Puesta en Servicio = Ultima RG;31/01/2016
MOD 82;CSR;Puesta en Servicio = Ultima RG;31/12/2016
MOD 83;CSR;Puesta en Servicio = Ultima RG;28/02/2017
MOD 84;CSR;Puesta en Servicio = Ultima RG;31/08/2017
MOD 85;CSR;Puesta en Servicio = Ultima RG;30/11/2016
MOD 86;CSR;Puesta en Servicio = Ultima RG;30/06/2017
MOD 04;Toshiba;Ultima RG;15/12/2023
MOD 06;Toshiba;Ultima RG;10/05/2023
MOD 09;Toshiba;Ultima RG;14/10/2025
MOD 11;Toshiba;Ultima RG;15/03/2019
MOD 12;Toshiba;Ultima RG;28/06/2011
MOD 15;Toshiba;Ultima RG;11/10/2018
MOD 16;Toshiba;Ultima RG;15/09/2017
MOD 19;Toshiba;Ultima RG;07/02/2018
MOD 20;Toshiba;Ultima RG;10/12/2021
MOD 21;Toshiba;Ultima RG;28/08/2020
MOD 22;Toshiba;Ultima RG;24/02/2020
MOD 24;Toshiba;Ultima RG;29/12/2020
MOD 28;Toshiba;Ultima RG;13/12/2019
MOD 29;Toshiba;Ultima RG;07/12/2022
MOD 31;Toshiba;Ultima RG;15/08/2022
MOD 34;Toshiba;Ultima RG;09/11/2017
MOD 36;Toshiba;Ultima RG;31/08/2023
MOD 39;Toshiba;Ultima RG;23/07/2021
MOD 40;Toshiba;Ultima RG;09/01/2012
MOD 43;Toshiba;Ultima RG;12/05/2022
MOD 45;Toshiba;Ultima RG;14/10/2025
MOD 46;Toshiba;Ultima RG;08/01/2025
MOD 47;Toshiba;Ultima RG;24/02/2019
MOD 49;Toshiba;Ultima RG;30/08/2019
MOD 52;Toshiba;Ultima RG;30/08/2024
